subject,run,sfreq,n_chan,duration_s,n_ann,n_T0,n_T1,n_T2,dur_T1,dur_T0,first_desc,max_abs_uv
1,1,160.0,64,61.0,1,1,0,0,,60.2,T0,597.0
1,3,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,600.0
1,4,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,594.9999999999999
1,7,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,612.9999999999999
1,8,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,582.0
1,11,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,602.0
1,12,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,585.9999999999999
2,1,160.0,64,61.0,1,1,0,0,,60.1,T0,310.99999999999994
2,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,336.0
2,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,309.0
2,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,357.0
2,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,310.0
2,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,356.0
2,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,316.0
3,1,160.0,64,61.0,1,1,0,0,,60.2,T0,633.0
3,3,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,629.0
3,4,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,616.9999999999999
3,7,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,636.0
3,8,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,649.0
3,11,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,649.0
3,12,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,668.0
4,1,160.0,64,61.0,1,1,0,0,,60.2,T0,303.99999999999994
4,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,298.0
4,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,306.0
4,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,298.0
4,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,303.0
4,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,288.0
4,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,301.0
5,1,160.0,64,61.0,1,1,0,0,,60.2,T0,294.99999999999994
5,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,307.0
5,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,312.99999999999994
5,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,301.0
5,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,292.99999999999994
5,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,317.0
5,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,294.0
6,1,160.0,64,61.0,1,1,0,0,,60.3,T0,318.0
6,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,310.99999999999994
6,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,314.99999999999994
6,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,325.0
6,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,320.0
6,11,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,327.0
6,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,309.0
7,1,160.0,64,61.0,1,1,0,0,,60.2,T0,321.99999999999994
7,3,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,336.0
7,4,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,325.0
7,7,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,348.0
7,8,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,327.0
7,11,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,341.99999999999994
7,12,160.0,64,125.0,30,15,7,8,4.1,4.2,T0,349.0
8,1,160.0,64,61.0,1,1,0,0,,60.2,T0,291.0
8,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,291.0
8,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,292.0
8,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,292.0
8,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,289.0
8,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,291.0
8,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,323.99999999999994
9,1,160.0,64,61.0,1,1,0,0,,60.2,T0,687.0
9,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,730.0
9,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,701.0
9,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,687.9999999999999
9,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,736.0
9,11,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,722.0
9,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,688.9999999999999
10,1,160.0,64,61.0,1,1,0,0,,60.2,T0,681.0
10,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,619.0
10,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,614.0
10,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,668.0
10,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,803.9999999999999
10,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,799.9999999999999
10,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,683.9999999999999
11,1,160.0,64,61.0,1,1,0,0,,60.2,T0,312.0
11,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,285.0
11,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,316.0
11,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,319.0
11,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,286.0
11,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,285.0
11,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,218.0
12,1,160.0,64,61.0,1,1,0,0,,60.2,T0,283.99999999999994
12,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,290.0
12,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,341.99999999999994
12,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,296.0
12,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,290.0
12,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,294.0
12,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,328.0
13,1,160.0,64,61.0,1,1,0,0,,60.2,T0,616.0
13,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,638.0
13,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,625.0
13,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,673.0
13,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,672.0
13,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,803.9999999999999
13,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,804.9999999999999
14,1,160.0,64,60.0,1,1,0,0,,60.0,T0,323.99999999999994
14,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,316.0
14,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,321.99999999999994
14,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,321.99999999999994
14,8,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,317.0
14,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,314.99999999999994
14,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,317.0
15,1,160.0,64,61.0,1,1,0,0,,60.2,T0,552.0
15,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,585.0
15,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,579.0
15,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,585.9999999999999
15,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,576.9999999999999
15,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,779.0
15,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,588.0
16,1,160.0,64,61.0,1,1,0,0,,60.2,T0,138.0
16,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,292.0
16,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,287.0
16,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,303.99999999999994
16,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,288.0
16,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,292.0
16,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,288.0
17,1,160.0,64,61.0,1,1,0,0,,60.2,T0,642.0
17,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,744.0
17,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,665.9999999999999
17,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,757.0
17,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,781.0
17,11,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,759.0
17,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,799.9999999999999
18,1,160.0,64,61.0,1,1,0,0,,60.2,T0,279.0
18,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,134.0
18,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,133.0
18,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,135.0
18,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,131.99999999999997
18,11,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,133.0
18,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,134.0
19,1,160.0,64,61.0,1,1,0,0,,60.2,T0,799.9999999999999
19,3,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,634.9999999999999
19,4,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,690.0
19,7,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,803.0
19,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,761.0
19,11,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,802.0
19,12,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,741.9999999999999
20,1,160.0,64,61.0,1,1,0,0,,60.2,T0,281.0
20,3,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,143.0
20,4,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,139.0
20,7,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,139.0
20,8,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,140.99999999999997
20,11,160.0,64,123.0,30,15,7,8,4.1,4.1,T0,137.0
20,12,160.0,64,123.0,30,15,8,7,4.1,4.1,T0,140.99999999999997
21,1,160.0,64,61.0,1,1,0,0,,60.1,T0,310.99999999999994
21,3,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,314.0
21,4,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,310.0
21,7,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,401.99999999999994
21,8,160.0,64,125.0,30,15,8,7,4.1,4.2,T0,401.99999999999994
