block,tag,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig,chance,n_classes
window,LOSO  task window 0.5-3.5 s,,0.7829457364341085,0.7018012970680114,0.8506616587118396,0.7830687830687831,0.07157539290195067,0.7777777777777778,0.746031746031746,0.8174603174603174,0.7142857142857143,0.8571428571428571,3.0,129.0,1.0,,
window,within/randomCV  task window 0.5-3.5 s,,0.7364341085271318,0.6516304096562346,0.8100615368455139,0.7380952380952381,0.14482767929281476,0.6666666666666666,0.6547619047619048,0.7857142857142857,0.6428571428571429,0.9047619047619048,3.0,129.0,1.0,,
window,LOSO  PRE-CUE -2.0 to -0.2 s,,0.5658914728682171,0.47581433463042805,0.6528742935174912,0.562962962962963,0.1090550508469293,0.5,0.5,0.5944444444444444,0.5,0.6888888888888889,3.0,129.0,0.3333333333333333,,
window,within/randomCV  PRE-CUE -2.0 to -0.2 s,,0.4573643410852713,0.3694053929045314,0.5473249539396461,0.45661375661375664,0.08789600427196567,0.4888888888888889,0.423015873015873,0.5063492063492063,0.35714285714285715,0.5238095238095238,3.0,129.0,0.0,,
window,LOSO  PRE-CUE -2.4 to -0.4 s,,0.6434108527131783,0.554324169695108,0.7257504632233741,0.6423280423280424,0.04682763872312274,0.6428571428571429,0.6190476190476191,0.665873015873016,0.5952380952380952,0.6888888888888889,3.0,129.0,0.6666666666666666,,
window,within/randomCV  PRE-CUE -2.4 to -0.4 s,,0.4108527131782946,0.32503458204369984,0.5008589191459232,0.4079365079365079,0.10924740830203025,0.35714285714285715,0.34523809523809523,0.4452380952380952,0.3333333333333333,0.5333333333333333,3.0,129.0,0.0,,
window,LOSO  late window 2.5-4.5 s,,0.6976744186046512,0.6106368516781588,0.775390216819583,0.6978835978835978,0.014226803872750016,0.6904761904761905,0.6896825396825397,0.7023809523809523,0.6888888888888889,0.7142857142857143,3.0,129.0,1.0,,
window,within/randomCV  late window 2.5-4.5 s,,0.5193798449612403,0.42972058051321255,0.6081294006742899,0.5185185185185185,0.1697250257391052,0.5555555555555556,0.4444444444444444,0.6111111111111112,0.3333333333333333,0.6666666666666666,3.0,129.0,0.3333333333333333,,
lesion,all 64 channels [64 ch],,0.7829457364341085,0.7018012970680114,0.8506616587118396,0.7830687830687831,0.07157539290195067,0.7777777777777778,0.746031746031746,0.8174603174603174,0.7142857142857143,0.8571428571428571,3.0,129.0,1.0,,
lesion,sensorimotor strip [15 ch],,0.7441860465116279,0.6599138888207949,0.8169089189153969,0.744973544973545,0.03777422063196089,0.7380952380952381,0.7246031746031747,0.7619047619047619,0.7111111111111111,0.7857142857142857,3.0,129.0,1.0,,
lesion,C3/Cz/C4 only [3 ch],,0.6744186046511628,0.5863568167908089,0.7542645675795268,0.6751322751322751,0.03568193714304204,0.6666666666666666,0.6555555555555556,0.6904761904761905,0.6444444444444445,0.7142857142857143,3.0,129.0,1.0,,
lesion,frontal [17 ch],,0.5348837209302325,0.44500311551108707,0.623126705096949,0.5349206349206349,0.05953968042384462,0.5333333333333333,0.5047619047619047,0.5642857142857143,0.47619047619047616,0.5952380952380952,3.0,129.0,0.0,,
lesion,parieto-occipital [17 ch],,0.6976744186046512,0.6106368516781588,0.775390216819583,0.6978835978835979,0.03655391629506009,0.6888888888888889,0.6777777777777778,0.7134920634920635,0.6666666666666666,0.7380952380952381,3.0,129.0,1.0,,
carryover,"LOSO, label = PREVIOUS trial's class",,0.6333333333333333,0.5405001010775285,0.7194175923349626,0.6336996336996337,0.05282859011668847,0.6190476190476191,0.6043956043956045,0.6556776556776557,0.5897435897435898,0.6923076923076923,3.0,120.0,0.3333333333333333,,
identity,"subject ID from MI trials, no alignment (93-way)",,0.9786286497741531,0.9786286497741531,0.9786286497741531,,,,,,,,,,,0.010752688172043012,93.0
identity,"subject ID from MI trials, after alignment (93-way)",,0.015849664217980508,0.015849664217980508,0.015849664217980508,,,,,,,,,,,0.010752688172043012,93.0
identity,subject ID from EYES-OPEN REST (93-way),,0.9875405359276327,0.9875405359276327,0.9875405359276327,,,,,,,,,,,0.010752688172043012,93.0
run-identity,which of this subject's 3 runs is it? (3-way),,0.9920634920634921,0.9920634920634921,0.9920634920634921,,,,,,,,3.0,,,0.3333333333333333,
align-scope,"align from 1st run only, test on runs 2-3",,0.6976744186046512,0.589169870892328,0.7921001076654641,0.699206349206349,0.07825815372431567,0.6785714285714286,0.655952380952381,0.7321428571428572,0.6333333333333333,0.7857142857142857,3.0,86.0,0.6666666666666666,,
align-scope,"align from all 3 runs, test on runs 2-3",,0.7093023255813954,0.601440145694699,0.8022461346778144,0.7111111111111111,0.07624006322871638,0.7142857142857143,0.6738095238095239,0.75,0.6333333333333333,0.7857142857142857,3.0,86.0,0.6666666666666666,,
align-scope,"no alignment at all, test on runs 2-3",,0.627906976744186,0.5169596376657671,0.7297748745878865,0.6285714285714286,0.10996288798814753,0.6,0.5678571428571428,0.675,0.5357142857142857,0.75,3.0,86.0,0.3333333333333333,,
cross-paradigm,train EXECUTED -> test IMAGINED,,0.7674418604651163,0.6849483280367363,0.837261723329769,0.7677248677248677,0.06858334862754013,,,,,,3.0,129.0,,,
cross-paradigm,train IMAGINED -> test EXECUTED,,0.7441860465116279,0.6599138888207949,0.8169089189153969,0.743915343915344,0.03974245917082311,,,,,,3.0,129.0,,,
cross-paradigm,SAME subject: executed -> imagined,,0.6434108527131783,0.554324169695108,0.7257504632233741,0.6417989417989418,0.04996569467863721,,,,,,3.0,129.0,,,
