paradigm,regime,shuffled,subject,n,acc,ci_lo,ci_hi,sig_thresh,majority,train_acc
imagined,"A within-subj, random CV",False,1,45,0.7555555555555555,0.6046290712401733,0.871177185396492,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",False,2,42,0.9285714285714286,0.8051688018435087,0.98502030832929,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,4,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,5,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,6,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,7,45,1.0,0.9212948995931569,1.0,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",False,8,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,9,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,10,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,13,42,0.6190476190476191,0.4563674954978985,0.7642794531367836,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,14,42,0.6666666666666666,0.5045125357367691,0.8043319519634817,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,19,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,20,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,22,45,0.7111111111111111,0.5568547229147682,0.8363374395543188,0.6222222222222222,0.5111111111111111,
imagined,"A within-subj, random CV",False,25,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,26,42,0.7380952380952381,0.5796033128823919,0.8613898679115296,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,27,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191,0.5,
imagined,"A within-subj, random CV",False,30,45,0.4666666666666667,0.3166008229974236,0.6212799839125356,0.6222222222222222,0.5333333333333333,
