target,feature,rho,p,n
acc_loso,eo_alpha_post,0.27452864887044026,0.03702501223767922,58
acc_within_run,eo_mu_prominence_db,0.2699749796031476,0.040409474965935166,58
acc_loso,eo_mu_prominence_db,0.2553769194404925,0.053018644773211075,58
acc_within_run,eo_alpha_post,0.25411221696816516,0.05424699129103053,58
acc_within_run,eo_alpha_peak_hz,0.24801791613329272,0.06049387785311797,58
acc_loso_both_paradigms,eo_alpha_post,0.2430677671350551,0.06598411376242867,58
acc_loso,ec_mu_prominence_db,0.23871922551508787,0.0711303198188397,58
acc_within_run,ec_alpha_post,0.227684546403476,0.08563193034385726,58
acc_loso_both_paradigms,eo_mu_prominence_db,0.2266642320777008,0.08708237649598007,58
acc_within_run,eo_line60,0.2191833376903592,0.09831416749484878,58
acc_within_run,ec_broadband,0.2183516977075543,0.09962928111599526,58
acc_loso,ec_alpha_post,0.21273199136898516,0.10887691032190222,58
acc_within_run,ec_mu_prominence_db,0.2109285408239994,0.11198051371971351,58
acc_loso,mu_reactivity,0.20971451631410595,0.11410768992394049,58
acc_within_run,eo_mu_sensori,0.2092652608583896,0.11490265881785047,58
acc_within_run,ec_mu_sensori,0.19719108036729616,0.1378932517463838,58
acc_within_run,ec_beta_sensori,0.19118479160259408,0.15054101075563128,58
acc_loso_both_paradigms,ec_beta_sensori,0.1869941444812098,0.1598618444145287,58
acc_within_run,ec_line60,0.1853941132038044,0.1635303905296918,58
acc_loso,eo_mu_sensori,0.1824648691348395,0.1704058725262509,58
acc_loso,ec_aperiodic_slope,-0.18218775407877916,0.17106706018610046,58
acc_loso,ec_mu_sensori,0.17824656217036547,0.18067377389842862,58
acc_within_run,mu_reactivity,0.17646168375886284,0.18515036207474433,58
acc_within_run,eo_broadband,0.17541443341014554,0.18781380134902342,58
acc_loso_both_paradigms,eo_alpha_peak_hz,0.17509488896702977,0.1886319396134667,58
acc_loso_both_paradigms,ec_aperiodic_slope,-0.1746837992224073,0.18968822058294002,58
acc_loso,ec_beta_sensori,0.15758609521297814,0.23743856559066184,58
acc_loso_both_paradigms,ec_alpha_post,0.1530175915669149,0.25148592328895264,58
acc_loso_both_paradigms,ec_line60,0.14877052245262806,0.265041364692301,58
acc_loso_both_paradigms,eo_mu_sensori,0.14864741900004003,0.26544144159363325,58
acc_loso_both_paradigms,eo_line60,0.14793957414765888,0.26774973482748704,58
acc_within_run,alpha_reactivity,0.14726187991815728,0.26997224689389,58
acc_loso,eo_alpha_peak_hz,0.1467394405536725,0.27169397708397564,58
acc_loso_both_paradigms,ec_broadband,0.14467733265407623,0.2785610813077833,58
acc_loso,ec_broadband,0.13941966376013387,0.29658574894252493,58
acc_loso_both_paradigms,ec_mu_prominence_db,0.12288802154599585,0.3580935188652192,58
acc_loso,alpha_reactivity,0.12072979275695335,0.36666203194405134,58
acc_loso_both_paradigms,eo_beta_sensori,0.1197796593681482,0.37047330764442143,58
acc_loso_both_paradigms,mu_reactivity,0.10777707274081577,0.4206538370234752,58
acc_loso,eo_beta_sensori,0.10250178018054011,0.44388048111110917,58
acc_loso_both_paradigms,eo_broadband,0.09131198595716744,0.4954290690233122,58
acc_loso_both_paradigms,ec_mu_sensori,0.09112733077828541,0.49630501369936497,58
acc_loso,eo_broadband,0.09073978557886804,0.49814601323917523,58
acc_loso_both_paradigms,alpha_reactivity,0.08774198583211475,0.512505346148515,58
acc_within_run,eo_beta_sensori,0.08180873312332687,0.5415315024611255,58
acc_within_run,ec_aperiodic_slope,-0.0697961555939227,0.6026342323070326,58
acc_loso,ec_line60,0.05782467503125693,0.6663562740493907,58
acc_within_run,eo_aperiodic_slope,-0.052177708550796585,0.6972847093105299,58
acc_loso,eo_line60,0.05212842110112779,0.6975569132120142,58
acc_loso,eo_aperiodic_slope,-0.045970308744231414,0.7318546711705712,58
acc_within_run,ec_alpha_peak_hz,0.02255639517238257,0.8665312143082909,58
acc_loso_both_paradigms,eo_aperiodic_slope,-0.011325517638098288,0.9327561943805823,58
acc_loso_both_paradigms,ec_alpha_peak_hz,-0.010355547922703474,0.9385036356619966,58
acc_loso,ec_alpha_peak_hz,0.008687947683051419,0.9483919312758553,58
